day type name,day part name,value,pre or post
M - Su,12am - 1am,0,Post
M - Su,2am - 3am,1,Post
M - Su,3am - 4am,91,Post
M - Su,4am - 5am,180,Post
M - Su,5am - 6am,279,Post
M - Su,6am - 7am,218,Post
M - Su,7am - 8am,212,Post
M - Su,8am - 9am,300,Post
M - Su,9am - 10am,497,Post
M - Su,10am - 11am,576,Post
M - Su,11am - 12pm,582,Post
M - Su,12pm - 1pm,595,Post
M - Su,1pm - 2pm,642,Post
M - Su,2pm - 3pm,595,Post
M - Su,3pm - 4pm,549,Post
M - Su,4pm - 5pm,459,Post
M - Su,5pm - 6pm,392,Post
M - Su,6pm - 7pm,353,Post
M - Su,7pm - 8pm,247,Post
M - Su,8pm - 9pm,149,Post
M - Su,9pm - 10pm,37,Post
M - Su,10pm - 11pm,17,Post
M - Su,11pm - 12am,3,Post
M - Su,12am - 1am,7,Pre
M - Su,1am - 2am,4,Pre
M - Su,2am - 3am,4,Pre
M - Su,3am - 4am,26,Pre
M - Su,4am - 5am,261,Pre
M - Su,5am - 6am,370,Pre
M - Su,6am - 7am,234,Pre
M - Su,7am - 8am,97,Pre
M - Su,8am - 9am,91,Pre
M - Su,9am - 10am,194,Pre
M - Su,10am - 11am,337,Pre
M - Su,11am - 12pm,464,Pre
M - Su,12pm - 1pm,519,Pre
M - Su,1pm - 2pm,504,Pre
M - Su,2pm - 3pm,502,Pre
M - Su,3pm - 4pm,477,Pre
M - Su,4pm - 5pm,407,Pre
M - Su,5pm - 6pm,341,Pre
M - Su,6pm - 7pm,319,Pre
M - Su,7pm - 8pm,319,Pre
M - Su,8pm - 9pm,219,Pre
M - Su,9pm - 10pm,67,Pre
M - Su,10pm - 11pm,45,Pre
M - Su,11pm - 12am,19,Pre
